visit_id,record_type,change_cause,host,name,value,time_stamp
3,added-or-changed,explicit,.media.net,visitor-id,2306147954971350000V10,2020-04-23T03:39:55.548Z
3,added-or-changed,explicit,.google.com,NID,203=pSFRkKkWD_jcHgyH87WkxVurjArRGBxiVXWzMXR562Ye87aeOzV17bszhxB9VqJj5j9Tozl8mHMTgih3n8h8W87P-c3WspHNwPLP51475a-OsSkGbBlzXwimD0LgbbCDpMwj6yOSRvdXtIHkRbhVuoBnqL57O2Sa5VZAzdJhRmE,2020-04-23T03:39:56.444Z
3,deleted,overwrite,.google.com,NID,203=O_XR9GpGKOuSlCXFkjVNaFPlJgydq5nCGXByp5bcfEMZuXQJ1xFpFKnP_bOXes_-euOsdDxu2qS_Lkz6Vy6tCXxPzsOEJcpbgK-JazfGEi95iWwiej2WKQC7ZlxZ68SCNV5cpCc1-s0hq-x5QpMv6lK50EJrJER-SBy7eLwLuxM,2020-04-23T03:39:56.514Z
3,added-or-changed,explicit,.google.com,NID,203=O_XR9GpGKOuSlCXFkjVNaFPlJgydq5nCGXByp5bcfEMZuXQJ1xFpFKnP_bOXes_-euOsdDxu2qS_Lkz6Vy6tCXxPzsOEJcpbgK-JazfGEi95iWwiej2WKQC7ZlxZ68SCNV5cpCc1-s0hq-x5QpMv6lK50EJrJER-SBy7eLwLuxM,2020-04-23T03:39:56.514Z
3,deleted,overwrite,.google.com,NID,203=hgkl_xEqkeiY7p_scCMW-wYGfNvpULcoZh71bcNcWz4G39S1YNSqc3hpJiZkOjVIEkVOu5GAaxZV4887KPWieV0D2bLQTolDzN_Hi_lM9igmspI42Q2X7pGDp9SlFAJJpes7QBdIbJCoLCSCOV-B-2JDjDU6bqiNQu6mwQI43Uw,2020-04-23T03:39:56.543Z
3,added-or-changed,explicit,.google.com,NID,203=hgkl_xEqkeiY7p_scCMW-wYGfNvpULcoZh71bcNcWz4G39S1YNSqc3hpJiZkOjVIEkVOu5GAaxZV4887KPWieV0D2bLQTolDzN_Hi_lM9igmspI42Q2X7pGDp9SlFAJJpes7QBdIbJCoLCSCOV-B-2JDjDU6bqiNQu6mwQI43Uw,2020-04-23T03:39:56.543Z
3,added-or-changed,explicit,.scorecardresearch.com,UID,1CA69a1920aa1322b045cd71587613197,2020-04-23T03:39:57.999Z
3,added-or-changed,explicit,.scorecardresearch.com,UIDR,1587613197,2020-04-23T03:39:58.000Z
3,added-or-changed,explicit,.pay.google.com,_ga,GA1.3.976898183.1587613199,2020-04-23T03:39:58.830Z
3,added-or-changed,explicit,.pay.google.com,_gid,GA1.3.873697166.1587613199,2020-04-23T03:39:58.833Z
3,added-or-changed,explicit,.pay.google.com,_gat_UA1168580691,1,2020-04-23T03:39:59.475Z
3,added-or-changed,explicit,.adnxs.com,uuid2,403527344914176951,2020-04-23T03:39:59.781Z
3,added-or-changed,explicit,.openx.net,i,404f359e-98d1-0ae8-35d6-3a497e0a1c45|1587613199,2020-04-23T03:39:59.808Z
3,added-or-changed,explicit,.bidswitch.net,tuuid,5ea6bf4f-e8d4-474d-b8fb-eb2a76248b59,2020-04-23T03:39:59.825Z
3,added-or-changed,explicit,.bidswitch.net,c,1587613199,2020-04-23T03:39:59.826Z
3,added-or-changed,explicit,.bidswitch.net,tuuid_lu,1587613199,2020-04-23T03:39:59.826Z
3,added-or-changed,explicit,.dotomi.com,DotomiTest,48a5a3d6a47411eb,2020-04-23T03:39:59.956Z
3,added-or-changed,explicit,.bluekai.com,bkdc,phx,2020-04-23T03:40:00.051Z
3,added-or-changed,explicit,.bluekai.com,bku,5LD999XmGPfDeRQk,2020-04-23T03:40:00.051Z
3,added-or-changed,explicit,.doubleclick.net,test_cookie,CheckForPermission,2020-04-23T03:40:00.059Z
3,added-or-changed,explicit,pay.google.com,OTZ,5421820_56_56__56_,2020-04-23T03:40:00.061Z
3,added-or-changed,explicit,news.google.com,OTZ,5421820_56_56__56_,2020-04-23T03:40:00.119Z
3,deleted,overwrite,.adnxs.com,uuid2,403527344914176951,2020-04-23T03:40:00.341Z
3,added-or-changed,explicit,.adnxs.com,uuid2,403527344914176951,2020-04-23T03:40:00.343Z
3,deleted,overwrite,.bidswitch.net,tuuid,5ea6bf4f-e8d4-474d-b8fb-eb2a76248b59,2020-04-23T03:40:00.349Z
3,added-or-changed,explicit,.bidswitch.net,tuuid,5ea6bf4f-e8d4-474d-b8fb-eb2a76248b59,2020-04-23T03:40:00.349Z
3,deleted,overwrite,.bidswitch.net,tuuid_lu,1587613200,2020-04-23T03:40:00.349Z
3,added-or-changed,explicit,.bidswitch.net,tuuid_lu,1587613200,2020-04-23T03:40:00.350Z
3,added-or-changed,explicit,eus.rubiconproject.com,cd,false,2020-04-23T03:40:00.552Z
3,deleted,explicit,eus.rubiconproject.com,cd,false,2020-04-23T03:40:00.556Z
3,deleted,overwrite,.bluekai.com,bku,5LD999XmGPfDeRQk,2020-04-23T03:40:00.668Z
3,added-or-changed,explicit,.bluekai.com,bku,5LD999XmGPfDeRQk,2020-04-23T03:40:00.668Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2fi8HESwnmAnnPZ/gh8QP2Ez8p3wQrx7bzj2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:00.706Z
3,added-or-changed,explicit,.rubiconproject.com,khaos,K9C7WPPU-7-BP60,2020-04-23T03:40:00.706Z
3,added-or-changed,explicit,.media.net,data-a,403527344914176951~~1,2020-04-23T03:40:00.727Z
3,added-or-changed,explicit,.media.net,data-co,AAAGXaYp4gsbPANzdW0_AAAAAAA~~1,2020-04-23T03:40:00.732Z
3,added-or-changed,explicit,.dnacdn.net,browser_data,g5Db1V9KbzZ6SXlxN1V1c01uUDBZY1RsOFFYNEhxZDRMQXYlMkJQZTAxejd0N05vUElOa2VIdUV1RTdrJTJCcm9nREdrdVJBU1FOQUZvWTdQV1glMkZjUVZGNFVPNm8zZyUzRCUzRA,2020-04-23T03:40:00.750Z
3,added-or-changed,explicit,eus.rubiconproject.com,pux,1512%3D90363%262231%3D90363%262249%3D90363%262307%3D90363%262974%3D90363%263778%3D90363%26brx%3D90363%26idl%3D90363%26,2020-04-23T03:40:00.754Z
3,added-or-changed,explicit,.yahoo.com,B,60u308dfa23gg&b=3&s=cp,2020-04-23T03:40:00.810Z
3,added-or-changed,explicit,.yahoo.com,A3,d=AQABBBAOoV4CEDzQa5CBuN4Bduk19ENgeGAFEgEBAQFfol6qXgAAAAAA_SMAAA&S=AQAAAoo0w6YOpYXmnUWl_E1BPis,2020-04-23T03:40:00.811Z
3,deleted,overwrite,.yahoo.com,B,60u308dfa23gg&b=3&s=cp,2020-04-23T03:40:00.811Z
3,added-or-changed,explicit,.yahoo.com,B,60u308dfa23gg&b=3&s=cp,2020-04-23T03:40:00.811Z
3,added-or-changed,explicit,.yahoo.com,GUC,AQEBAQFeol9eqkIZGwPV,2020-04-23T03:40:00.811Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez+I2o2wDkc2n2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:00.851Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez+I2o2wDkc2n2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:00.852Z
3,added-or-changed,explicit,.media.net,data-r,K9C7WPPU-7-BP60~~1,2020-04-23T03:40:01.055Z
3,added-or-changed,explicit,.media.net,data-bs,5ea6bf4f-e8d4-474d-b8fb-eb2a76248b59~~1,2020-04-23T03:40:01.068Z
3,added-or-changed,explicit,.amazon-adsystem.com,ad-id,AxRBYCwGK0wogU9YqCRQrOg|t,2020-04-23T03:40:01.101Z
3,added-or-changed,explicit,.doubleclick.net,IDE,AHWqTUmCL1Q2zojGkVIos7MVLDXxq_JVywimALwB8yUcn5G1M50Mn2t0PIN3c7xC,2020-04-23T03:40:01.366Z
3,deleted,explicit,.doubleclick.net,test_cookie,CheckForPermission,2020-04-23T03:40:01.367Z
3,deleted,overwrite,.doubleclick.net,IDE,AHWqTUkPu4r4o3vjAO9_niIStCYVv7L0bYJAinEePVTdRC_aRX3hFJ8lELtEw5Qh,2020-04-23T03:40:01.933Z
3,added-or-changed,explicit,.doubleclick.net,IDE,AHWqTUkPu4r4o3vjAO9_niIStCYVv7L0bYJAinEePVTdRC_aRX3hFJ8lELtEw5Qh,2020-04-23T03:40:01.933Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ezu8B/zJW/ILz2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:03.927Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ezu8B/zJW/ILz2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:03.928Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez5dH++TV+ZfP2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:03.932Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez5dH++TV+ZfP2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:03.932Z
3,added-or-changed,explicit,.rlcdn.com,rlas3,poRfXhr04bYKChz6p6C8/fa6Sk/JS7UIo5Zb6ULKh7k=,2020-04-23T03:40:03.936Z
3,added-or-changed,explicit,.rlcdn.com,pxrc,CAA=,2020-04-23T03:40:03.936Z
3,added-or-changed,explicit,id.sharedid.org,myads,46219d94b0204a879a243b1d591a0a6f,2020-04-23T03:40:03.936Z
3,added-or-changed,explicit,id.sharedid.org,audit,nVV2infI8aocl2uQWd439l0gYic8ZHEqguaLGFLWmksAaCbrg5+kXXl5BkXm3/PkT6xddj4tPVPAQKOHRDcWEAGAKIW6JoW/cD90u4VRlqCY1qyp5G4fvA==,2020-04-23T03:40:03.937Z
3,added-or-changed,explicit,.everesttech.net,everest_g_v2,g_surferid~XqEOEwAAAJ8PvwoD,2020-04-23T03:40:03.938Z
3,deleted,overwrite,.doubleclick.net,IDE,AHWqTUndmmlVduLvsBFHj_D5rN52FQZqC3DYJWRcHUqGQyqQwqY3_tGpdMygfviX,2020-04-23T03:40:03.939Z
3,added-or-changed,explicit,.doubleclick.net,IDE,AHWqTUndmmlVduLvsBFHj_D5rN52FQZqC3DYJWRcHUqGQyqQwqY3_tGpdMygfviX,2020-04-23T03:40:03.940Z
3,added-or-changed,explicit,.adsrvr.org,TDID,5437a38a-8da8-421f-8bf8-bb3199c5ac50,2020-04-23T03:40:03.941Z
3,added-or-changed,explicit,.adsrvr.org,TDCPM,CAEYBSgCMgsIrI-N1tfQszgQBTgB,2020-04-23T03:40:03.942Z
3,added-or-changed,explicit,.mathtag.com,uuid,5cd15ea1-0e13-4100-ad06-fc6c52946295,2020-04-23T03:40:03.951Z
3,deleted,overwrite,.adsrvr.org,TDCPM,CAESFgoHcnViaWNvbhILCJ7JlarB0LM4EAUYBSABKAIyCwisj43W19CzOBAFOAE.,2020-04-23T03:40:04.035Z
3,added-or-changed,explicit,.adsrvr.org,TDCPM,CAESFgoHcnViaWNvbhILCJ7JlarB0LM4EAUYBSABKAIyCwisj43W19CzOBAFOAE.,2020-04-23T03:40:04.036Z
3,deleted,overwrite,.yahoo.com,B,60u308dfa23gg&b=3&s=cp,2020-04-23T03:40:04.044Z
3,added-or-changed,explicit,.yahoo.com,B,60u308dfa23gg&b=3&s=cp,2020-04-23T03:40:04.045Z
3,deleted,overwrite,.yahoo.com,A3,d=AQABBBAOoV4CEDzQa5CBuN4Bduk19ENgeGAFEgEBAQFfol6qXgAAAAAA_SMAAAcIEA6hXkNgeGA&S=AQAAAlthKwIDJkGlq9hAxzIB7i8,2020-04-23T03:40:04.045Z
3,added-or-changed,explicit,.yahoo.com,A3,d=AQABBBAOoV4CEDzQa5CBuN4Bduk19ENgeGAFEgEBAQFfol6qXgAAAAAA_SMAAAcIEA6hXkNgeGA&S=AQAAAlthKwIDJkGlq9hAxzIB7i8,2020-04-23T03:40:04.045Z
3,deleted,overwrite,.yahoo.com,B,60u308dfa23gg&b=3&s=cp,2020-04-23T03:40:04.045Z
3,added-or-changed,explicit,.yahoo.com,B,60u308dfa23gg&b=3&s=cp,2020-04-23T03:40:04.046Z
3,deleted,overwrite,.yahoo.com,GUC,AQEBAQFeol9eqkIZGwPV,2020-04-23T03:40:04.046Z
3,added-or-changed,explicit,.yahoo.com,GUC,AQEBAQFeol9eqkIZGwPV,2020-04-23T03:40:04.048Z
3,deleted,overwrite,.amazon-adsystem.com,ad-id,AxRBYCwGK0wogU9YqCRQrOg,2020-04-23T03:40:04.055Z
3,added-or-changed,explicit,.amazon-adsystem.com,ad-id,AxRBYCwGK0wogU9YqCRQrOg,2020-04-23T03:40:04.058Z
3,added-or-changed,explicit,.amazon-adsystem.com,ad-privacy,0,2020-04-23T03:40:04.059Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzErRctM5Q9Z/2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.084Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzErRctM5Q9Z/2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.084Z
3,deleted,overwrite,.rubiconproject.com,khaos,K9C7WPPU-7-BP60,2020-04-23T03:40:04.085Z
3,added-or-changed,explicit,.rubiconproject.com,khaos,K9C7WPPU-7-BP60,2020-04-23T03:40:04.085Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez1LMOMmAe7B32P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.104Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez1LMOMmAe7B32P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.105Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez8ra3TfQfZUH2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.368Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez8ra3TfQfZUH2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.368Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzosrWRhLQcIL2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.405Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2EzosrWRhLQcIL2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.407Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ezl51YX+ix12b2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.411Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ezl51YX+ix12b2P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.411Z
3,deleted,overwrite,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez/i5BOz6Mky72P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.420Z
3,added-or-changed,explicit,.rubiconproject.com,audit,1|5i8wJITt+Whi8EwqZaykfo07atP8whBGlP+c59xu2ficYQ+GtYVKK/Z/gh8QP2Ez/i5BOz6Mky72P6YB1bf/YKrK6aORrv6f,2020-04-23T03:40:04.420Z
3,added-or-changed,explicit,.doubleclick.net,DSID,NO_DATA,2020-04-23T03:40:04.629Z
3,added-or-changed,explicit,.3lift.com,tluid,15757543956185273246,2020-04-23T03:40:04.645Z
3,added-or-changed,explicit,.insightexpressai.com,TID,00000000-0000-0006-087a-8b1587613204,2020-04-23T03:40:04.951Z
3,added-or-changed,explicit,.insightexpressai.com,IXAI43937,FTF,2020-04-23T03:40:04.952Z
3,added-or-changed,explicit,.insightexpressai.com,DW_Time,1587613204,2020-04-23T03:40:04.952Z
3,added-or-changed,explicit,.insightexpressai.com,DW,00000000-0000-0006-087a-8b1587613204,2020-04-23T03:40:04.953Z
3,deleted,overwrite,.insightexpressai.com,DW_Time,1587613204,2020-04-23T03:40:04.953Z
3,added-or-changed,explicit,.insightexpressai.com,DW_Time,1587613204,2020-04-23T03:40:04.953Z
3,added-or-changed,explicit,.w55c.net,wfivefivec,n1Eu5Tm01JrsIZ5,2020-04-23T03:40:29.842Z
3,added-or-changed,explicit,bttrack.com,GLOBALID,2uKlc8-sIBd987FnJ3vDGOSAfAwBXyqFCnQ45Xa1ILuOPTlocPTBq_7KYWfSZ_KsJGr2Oec7vZQC4TM1,2020-04-23T03:40:29.847Z
3,added-or-changed,explicit,.media.net,data-bt,1e313db7-acba-4af0-9931-cf10648c7939~~1,2020-04-23T03:40:29.927Z
